scenario_id,difficulty,tau_s,frame_id,resolution_m,width_cells,height_cells,origin_x_m,origin_y_m,scheduled_x_m,scheduled_y_m,raster_centroid_x_m,raster_centroid_y_m,centroid_error_m,one_cell_diagonal_threshold_m,occupied_cells,passed,source
S1_crossing,medium,0.0,odom,0.05,120,100,-11.5,-2.5,-4.0,0.9,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S1_crossing,medium,0.5,odom,0.05,120,100,-11.5,-2.5,-4.0,0.9,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S1_crossing,medium,1.0,odom,0.05,120,100,-11.5,-2.5,-4.0,0.9,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S1_crossing,medium,1.5,odom,0.05,120,100,-11.5,-2.5,-4.0,0.9,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S2_oncoming,medium,0.0,odom,0.05,120,100,-11.5,-2.5,7.5,0.6,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S2_oncoming,medium,0.5,odom,0.05,120,100,-11.5,-2.5,7.5,0.6,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S2_oncoming,medium,1.0,odom,0.05,120,100,-11.5,-2.5,7.5,0.6,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S2_oncoming,medium,1.5,odom,0.05,120,100,-11.5,-2.5,7.5,0.6,nan,nan,inf,0.07071067811865477,0,False,deterministic waypoint schedule; not velocity extrapolation
S3_diagonal,medium,0.0,odom,0.05,120,100,-11.5,-2.5,-5.5,1.8,-5.665555555555556,1.8116666666666668,0.16596612029694432,0.07071067811865477,90,False,deterministic waypoint schedule; not velocity extrapolation
S3_diagonal,medium,0.5,odom,0.05,120,100,-11.5,-2.5,-5.5,1.8,-5.665555555555556,1.8116666666666668,0.16596612029694432,0.07071067811865477,90,False,deterministic waypoint schedule; not velocity extrapolation
S3_diagonal,medium,1.0,odom,0.05,120,100,-11.5,-2.5,-5.5,1.8,-5.665555555555556,1.8116666666666668,0.16596612029694432,0.07071067811865477,90,False,deterministic waypoint schedule; not velocity extrapolation
S3_diagonal,medium,1.5,odom,0.05,120,100,-11.5,-2.5,-5.5,1.8,-5.665555555555556,1.8116666666666668,0.16596612029694432,0.07071067811865477,90,False,deterministic waypoint schedule; not velocity extrapolation
S4_stop_go,medium,0.0,odom,0.05,120,100,-11.5,-2.5,-7.5,-1.5,-7.5,-1.5,0.0,0.07071067811865477,196,True,deterministic waypoint schedule; not velocity extrapolation
S4_stop_go,medium,0.5,odom,0.05,120,100,-11.5,-2.5,-7.5,-1.5,-7.5,-1.5,0.0,0.07071067811865477,196,True,deterministic waypoint schedule; not velocity extrapolation
S4_stop_go,medium,1.0,odom,0.05,120,100,-11.5,-2.5,-7.5,-1.5,-7.5,-1.5,0.0,0.07071067811865477,196,True,deterministic waypoint schedule; not velocity extrapolation
S4_stop_go,medium,1.5,odom,0.05,120,100,-11.5,-2.5,-7.5,-1.5,-7.5,-1.5,0.0,0.07071067811865477,196,True,deterministic waypoint schedule; not velocity extrapolation
